Seção;Subclasse;Denominação
C;2853-4/00;Fabricação de tratores, peças e acessórios, exceto agrícolas
C;2854-2/00;Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores
C;2861-5/00;Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas-ferramenta
C;2862-3/00;Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios
C;2863-1/00;Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios
C;2864-0/00;Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios
C;2865-8/00;Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios
C;2866-6/00;Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios
C;2869-1/00;Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios
C;2910-7/01;Fabricação de automóveis, camionetas e utilitários
C;2910-7/02;Fabricação de chassis com motor para automóveis, camionetas e utilitários
C;2910-7/03;Fabricação de motores para automóveis, camionetas e utilitários
C;2920-4/01;Fabricação de caminhões e ônibus
C;2920-4/02;Fabricação de motores para caminhões e ônibus
C;2930-1/01;Fabricação de cabines, carrocerias e reboques para caminhões
C;2930-1/02;Fabricação de carrocerias para ônibus
C;2930-1/03;Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus
C;2941-7/00;Fabricação de peças e acessórios para o sistema motor de veículos automotores
C;2942-5/00;Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores
C;2943-3/00;Fabricação de peças e acessórios para o sistema de freios de veículos automotores
C;2944-1/00;Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores
C;2945-0/00;Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias
C;2949-2/01;Fabricação de bancos e estofados para veículos automotores
C;2949-2/99;Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
C;2950-6/00;Recondicionamento e recuperação de motores para veículos automotores
C;3011-3/01;Construção de embarcações de grande porte
C;3011-3/02;Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte
C;3012-1/00;Construção de embarcações para esporte e lazer
C;3031-8/00;Fabricação de locomotivas, vagões e outros materiais rodantes
C;3032-6/00;Fabricação de peças e acessórios para veículos ferroviários
C;3041-5/00;Fabricação de aeronaves
C;3042-3/00;Fabricação de turbinas, motores e outros componentes e peças para aeronaves
C;3050-4/00;Fabricação de veículos militares de combate
C;3091-1/01;Fabricação de motocicletas
C;3091-1/02;Fabricação de peças e acessórios para motocicletas
C;3092-0/00;Fabricação de bicicletas e triciclos não-motorizados, peças e acessórios
C;3099-7/00;Fabricação de equipamentos de transporte não especificados anteriormente
C;3101-2/00;Fabricação de móveis com predominância de madeira
C;3102-1/00;Fabricação de móveis com predominância de metal
C;3103-9/00;Fabricação de móveis de outros materiais, exceto madeira e metal
C;3104-7/00;Fabricação de colchões
C;3211-6/01;Lapidação de gemas
C;3211-6/02;Fabricação de artefatos de joalheria e ourivesaria
C;3211-6/03;Cunhagem de moedas e medalhas
C;3212-4/00;Fabricação de bijuterias e artefatos semelhantes
C;3220-5/00;Fabricação de instrumentos musicais, peças e acessórios
C;3230-2/00;Fabricação de artefatos para pesca e esporte
C;3240-0/01;Fabricação de jogos eletrônicos
C;3240-0/02;Fabricação de mesas de bilhar, de sinuca e acessórios não associada à locação
C;3240-0/03;Fabricação de mesas de bilhar, de sinuca e acessórios associada à locação
C;3240-0/99;Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente
C;3250-7/01;Fabricação de instrumentos não-eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório
C;3250-7/02;Fabricação de mobiliário para uso médico, cirúrgico, odontológico e de laboratório
C;3250-7/03;Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral sob encomenda
C;3250-7/04;Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral, exceto sob encomenda
C;3250-7/05;Fabricação de materiais para medicina e odontologia
C;3250-7/06;Serviços de prótese dentária
C;3250-7/07;Fabricação de artigos ópticos
C;3250-7/09;Serviço de laboratório óptico
C;3291-4/00;Fabricação de escovas, pincéis e vassouras
C;3292-2/01;Fabricação de roupas de proteção e segurança e resistentes a fogo
C;3292-2/02;Fabricação de equipamentos e acessórios para segurança pessoal e profissional
C;3299-0/01;Fabricação de guarda-chuvas e similares
C;3299-0/02;Fabricação de canetas, lápis e outros artigos para escritório
C;3299-0/03;Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos
C;3299-0/04;Fabricação de painéis e letreiros luminosos
C;3299-0/05;Fabricação de aviamentos para costura
C;3299-0/06;Fabricação de velas, inclusive decorativas
C;3299-0/99;Fabricação de produtos diversos não especificados anteriormente
C;3311-2/00;Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos
C;3312-1/02;Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle
C;3312-1/03;Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação
C;3312-1/04;Manutenção e reparação de equipamentos e instrumentos ópticos
C;3313-9/01;Manutenção e reparação de geradores, transformadores e motores elétricos
C;3313-9/02;Manutenção e reparação de baterias e acumuladores elétricos, exceto para veículos
C;3313-9/99;Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente
C;3314-7/01;Manutenção e reparação de máquinas motrizes não-elétricas
C;3314-7/02;Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas
C;3314-7/03;Manutenção e reparação de válvulas industriais
C;3314-7/04;Manutenção e reparação de compressores
C;3314-7/05;Manutenção e reparação de equipamentos de transmissão para fins industriais
C;3314-7/06;Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas
C;3314-7/07;Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial
C;3314-7/08;Manutenção e reparação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas
C;3314-7/09;Manutenção e reparação de máquinas de escrever, calcular e de outros equipamentos não-eletrônicos para escritório
C;3314-7/10;Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente
C;3314-7/11;Manutenção e reparação de máquinas e equipamentos para agricultura e pecuária
C;3314-7/12;Manutenção e reparação de tratores agrícolas
C;3314-7/13;Manutenção e reparação de máquinas-ferramenta
C;3314-7/14;Manutenção e reparação de máquinas e equipamentos para a prospecção e extração de petróleo
C;3314-7/15;Manutenção e reparação de máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo
C;3314-7/16;Manutenção e reparação de tratores, exceto agrícolas
C;3314-7/17;Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores
C;3314-7/18;Manutenção e reparação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta
C;3314-7/19;Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo
C;3314-7/20;Manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do vestuário, do couro e calçados
C;3314-7/21;Manutenção e reparação de máquinas e aparelhos para a indústria de celulose, papel e papelão e artefatos
C;3314-7/22;Manutenção e reparação de máquinas e aparelhos para a indústria do plástico
C;3314-7/99;Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente
C;3315-5/00;Manutenção e reparação de veículos ferroviários
C;3316-3/01;Manutenção e reparação de aeronaves, exceto a manutenção na pista
C;3316-3/02;Manutenção de aeronaves na pista
C;3317-1/01;Manutenção e reparação de embarcações e estruturas flutuantes
C;3317-1/02;Manutenção e reparação de embarcações para esporte e lazer
C;3319-8/00;Manutenção e reparação de equipamentos e produtos não especificados anteriormente
C;3321-0/00;Instalação de máquinas e equipamentos industriais
C;3329-5/01;Serviços de montagem de móveis de qualquer material
C;3329-5/99;Instalação de outros equipamentos não especificados anteriormente
D;3511-5/01;Geração de energia elétrica
D;3511-5/02;Atividades de coordenação e controle da operação da geração e transmissão de energia elétrica
D;3512-3/00;Transmissão de energia elétrica
D;3513-1/00;Comércio atacadista de energia elétrica
D;3514-0/00;Distribuição de energia elétrica
D;3520-4/01;"Produção de gás; processamento de gás natural"
D;3520-4/02;Distribuição de combustíveis gasosos por redes urbanas
D;3530-1/00;Produção e distribuição de vapor, água quente e ar condicionado
E;3600-6/01;Captação, tratamento e distribuição de água
E;3600-6/02;Distribuição de água por caminhões
E;3701-1/00;Gestão de redes de esgoto
E;3702-9/00;Atividades relacionadas a esgoto, exceto a gestão de redes
E;3811-4/00;Coleta de resíduos não-perigosos
E;3812-2/00;Coleta de resíduos perigosos
E;3821-1/00;Tratamento e disposição de resíduos não-perigosos
E;3822-0/00;Tratamento e disposição de resíduos perigosos
E;3831-9/01;Recuperação de sucatas de alumínio
E;3831-9/99;Recuperação de materiais metálicos, exceto alumínio
E;3832-7/00;Recuperação de materiais plásticos
E;3839-4/01;Usinas de compostagem
E;3839-4/99;Recuperação de materiais não especificados anteriormente
E;3900-5/00;Descontaminação e outros serviços de gestão de resíduos
F;4110-7/00;Incorporação de empreendimentos imobiliários
F;4120-4/00;Construção de edifícios
F;4211-1/01;Construção de rodovias e ferrovias
F;4211-1/02;Pintura para sinalização em pistas rodoviárias e aeroportos
F;4212-0/00;Construção de obras-de-arte especiais
F;4213-8/00;Obras de urbanização - ruas, praças e calçadas
F;4221-9/01;Construção de barragens e represas para geração de energia elétrica
F;4221-9/02;Construção de estações e redes de distribuição de energia elétrica
F;4221-9/03;Manutenção de redes de distribuição de energia elétrica
F;4221-9/04;Construção de estações e redes de telecomunicações
F;4221-9/05;Manutenção de estações e redes de telecomunicações
F;4222-7/01;Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação
F;4222-7/02;Obras de irrigação
F;4223-5/00;Construção de redes de transportes por dutos, exceto para água e esgoto
F;4291-0/00;Obras portuárias, marítimas e fluviais
F;4292-8/01;Montagem de estruturas metálicas
F;4292-8/02;Obras de montagem industrial
F;4299-5/01;Construção de instalações esportivas e recreativas
F;4299-5/99;Outras obras de engenharia civil não especificadas anteriormente
F;4311-8/01;Demolição de edifícios e outras estruturas
F;4311-8/02;Preparação de canteiro e limpeza de terreno
F;4312-6/00;Perfurações e sondagens
F;4313-4/00;Obras de terraplenagem
F;4319-3/00;Serviços de preparação do terreno não especificados anteriormente
F;4321-5/00;Instalação e manutenção elétrica
F;4322-3/01;Instalações hidráulicas, sanitárias e de gás
F;4322-3/02;Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração
F;4322-3/03;Instalações de sistema de prevenção contra incêndio
F;4329-1/01;Instalação de painéis publicitários
F;4329-1/02;Instalação de equipamentos para orientação à navegação marítima, fluvial e lacustre
F;4329-1/03;Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes
F;4329-1/04;Montagem e instalação de sistemas e equipamentos de iluminação e sinalização em vias públicas, portos e aeroportos
F;4329-1/05;Tratamentos térmicos, acústicos ou de vibração
F;4329-1/99;Outras obras de instalações em construções não especificadas anteriormente
F;4330-4/01;Impermeabilização em obras de engenharia civil
F;4330-4/02;Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material
F;4330-4/03;Obras de acabamento em gesso e estuque
F;4330-4/04;Serviços de pintura de edifícios em geral
F;4330-4/05;Aplicação de revestimentos e de resinas em interiores e exteriores
F;4330-4/99;Outras obras de acabamento da construção
F;4391-6/00;Obras de fundações
F;4399-1/01;Administração de obras
F;4399-1/02;Montagem e desmontagem de andaimes e outras estruturas temporárias
F;4399-1/03;Obras de alvenaria
F;4399-1/04;Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras
F;4399-1/05;Perfuração e construção de poços de água
F;4399-1/99;Serviços especializados para construção não especificados anteriormente
G;4511-1/01;Comércio a varejo de automóveis, camionetas e utilitários novos
G;4511-1/02;Comércio a varejo de automóveis, camionetas e utilitários usados
G;4511-1/03;Comércio por atacado de automóveis, camionetas e utilitários novos e usados
G;4511-1/04;Comércio por atacado de caminhões novos e usados
G;4511-1/05;Comércio por atacado de reboques e semi-reboques novos e usados
G;4511-1/06;Comércio por atacado de ônibus e microônibus novos e usados
G;4512-9/01;Representantes comerciais e agentes do comércio de veículos automotores
G;4512-9/02;Comércio sob consignação de veículos automotores
G;4520-0/01;Serviços de manutenção e reparação mecânica de veículos automotores
G;4520-0/02;Serviços de lanternagem ou funilaria e pintura de veículos automotores
G;4520-0/03;Serviços de manutenção e reparação elétrica de veículos automotores
G;4520-0/04;Serviços de alinhamento e balanceamento de veículos automotores
G;4520-0/05;Serviços de lavagem, lubrificação e polimento de veículos automotores
G;4520-0/06;Serviços de borracharia para veículos automotores
G;4520-0/07;Serviços de instalação, manutenção e reparação de acessórios para veículos automotores
G;4520-0/08;Serviços de capotaria
G;4530-7/01;Comércio por atacado de peças e acessórios novos para veículos automotores
G;4530-7/02;Comércio por atacado de pneumáticos e câmaras-de-ar
G;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores
G;4530-7/04;Comércio a varejo de peças e acessórios usados para veículos automotores
G;4530-7/05;Comércio a varejo de pneumáticos e câmaras-de-ar
G;4530-7/06;Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores
G;4541-2/01;Comércio por atacado de motocicletas e motonetas
G;4541-2/02;Comércio por atacado de peças e acessórios para motocicletas e motonetas
G;4541-2/03;Comércio a varejo de motocicletas e motonetas novas
G;4541-2/04;Comércio a varejo de motocicletas e motonetas usadas
G;4541-2/05;Comércio a varejo de peças e acessórios para motocicletas e motonetas
G;4542-1/01;Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios
G;4542-1/02;Comércio sob consignação de motocicletas e motonetas
G;4543-9/00;Manutenção e reparação de motocicletas e motonetas
G;4611-7/00;Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos
G;4612-5/00;Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos
G;4613-3/00;Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens
G;4614-1/00;Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves
G;4615-0/00;Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico
G;4616-8/00;Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem
G;4617-6/00;Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo
G;4618-4/01;Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria
G;4618-4/02;Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares
G;4618-4/03;Representantes comerciais e agentes do comércio de jornais, revistas e outras publicações
G;4618-4/99;Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente
G;4619-2/00;Representantes comerciais e agentes do comércio de mercadorias em geral não especializado
G;4621-4/00;Comércio atacadista de café em grão
G;4622-2/00;Comércio atacadista de soja
G;4623-1/01;Comércio atacadista de animais vivos
G;4623-1/02;Comércio atacadista de couros, lãs, peles e outros subprodutos não-comestíveis de origem animal
G;4623-1/03;Comércio atacadista de algodão
G;4623-1/04;Comércio atacadista de fumo em folha não beneficiado
G;4623-1/05;Comércio atacadista de cacau
G;4623-1/06;Comércio atacadista de sementes, flores, plantas e gramas
G;4623-1/07;Comércio atacadista de sisal
G;4623-1/08;Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada
G;4623-1/09;Comércio atacadista de alimentos para animais
G;4623-1/99;Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente
G;4631-1/00;Comércio atacadista de leite e laticínios
G;4632-0/01;Comércio atacadista de cereais e leguminosas beneficiados
G;4632-0/02;Comércio atacadista de farinhas, amidos e féculas
G;4632-0/03;Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada
G;4633-8/01;Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos
G;4633-8/02;Comércio atacadista de aves vivas e ovos
G;4633-8/03;Comércio atacadista de coelhos e outros pequenos animais vivos para alimentação
G;4634-6/01;Comércio atacadista de carnes bovinas e suínas e derivados
G;4634-6/02;Comércio atacadista de aves abatidas e derivados
G;4634-6/03;Comércio atacadista de pescados e frutos do mar
G;4634-6/99;Comércio atacadista de carnes e derivados de outros animais
G;4635-4/01;Comércio atacadista de água mineral
G;4635-4/02;Comércio atacadista de cerveja, chope e refrigerante
G;4635-4/03;Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada
G;4635-4/99;Comércio atacadista de bebidas não especificadas anteriormente
G;4636-2/01;Comércio atacadista de fumo beneficiado
G;4636-2/02;Comércio atacadista de cigarros, cigarrilhas e charutos
G;4637-1/01;Comércio atacadista de café torrado, moído e solúvel
G;4637-1/02;Comércio atacadista de açúcar
G;4637-1/03;Comércio atacadista de óleos e gorduras
G;4637-1/04;Comércio atacadista de pães, bolos, biscoitos e similares
G;4637-1/05;Comércio atacadista de massas alimentícias
G;4637-1/06;Comércio atacadista de sorvetes
G;4637-1/07;Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes
G;4637-1/99;Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente
G;4639-7/01;Comércio atacadista de produtos alimentícios em geral
G;4639-7/02;Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada
G;4641-9/01;Comércio atacadista de tecidos
G;4641-9/02;Comércio atacadista de artigos de cama, mesa e banho
G;4641-9/03;Comércio atacadista de artigos de armarinho
G;4642-7/01;Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança
G;4642-7/02;Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho
G;4643-5/01;Comércio atacadista de calçados
G;4643-5/02;Comércio atacadista de bolsas, malas e artigos de viagem
G;4644-3/01;Comércio atacadista de medicamentos e drogas de uso humano
G;4644-3/02;Comércio atacadista de medicamentos e drogas de uso veterinário
G;4645-1/01;Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios
G;4645-1/02;Comércio atacadista de próteses e artigos de ortopedia
G;4645-1/03;Comércio atacadista de produtos odontológicos
G;4646-0/01;Comércio atacadista de cosméticos e produtos de perfumaria
G;4646-0/02;Comércio atacadista de produtos de higiene pessoal
G;4647-8/01;Comércio atacadista de artigos de escritório e de papelaria
G;4647-8/02;Comércio atacadista de livros, jornais e outras publicações
G;4649-4/01;Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico
G;4649-4/02;Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico
G;4649-4/03;Comércio atacadista de bicicletas, triciclos e outros veículos recreativos
G;4649-4/04;Comércio atacadista de móveis e artigos de colchoaria
G;4649-4/05;"Comércio atacadista de artigos de tapeçaria; persianas e cortinas"
G;4649-4/06;Comércio atacadista de lustres, luminárias e abajures
G;4649-4/07;Comércio atacadista de filmes, CDs, DVDs, fitas e discos
G;4649-4/08;Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar
G;4649-4/09;Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada
G;4649-4/10;Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas
G;4649-4/99;Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente
G;4651-6/01;Comércio atacadista de equipamentos de informática
G;4651-6/02;Comércio atacadista de suprimentos para informática
G;4652-4/00;Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação
G;4661-3/00;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças"
G;4662-1/00;"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças"
G;4663-0/00;"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças"
G;4664-8/00;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças"
G;4665-6/00;"Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças"
G;4669-9/01;"Comércio atacadista de bombas e compressores; partes e peças"
G;4669-9/99;"Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças"
G;4671-1/00;Comércio atacadista de madeira e produtos derivados
G;4672-9/00;Comércio atacadista de ferragens e ferramentas
G;4673-7/00;Comércio atacadista de material elétrico
G;4674-5/00;Comércio atacadista de cimento
G;4679-6/01;Comércio atacadista de tintas, vernizes e similares
G;4679-6/02;Comércio atacadista de mármores e granitos
G;4679-6/03;Comércio atacadista de vidros, espelhos e vitrais
G;4679-6/04;Comércio atacadista especializado de materiais de construção não especificados anteriormente
G;4679-6/99;Comércio atacadista de materiais de construção em geral
G;4681-8/01;Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador retalhista (TRR)
G;4681-8/02;Comércio atacadista de combustíveis realizado por transportador retalhista (TRR)
G;4681-8/03;Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante
G;4681-8/04;Comércio atacadista de combustíveis de origem mineral em bruto
G;4681-8/05;Comércio atacadista de lubrificantes
G;4682-6/00;Comércio atacadista de gás liqüefeito de petróleo (GLP)
G;4683-4/00;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo
G;4684-2/01;Comércio atacadista de resinas e elastômeros
G;4684-2/02;Comércio atacadista de solventes
G;4684-2/99;Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente
G;4685-1/00;Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção
G;4686-9/01;Comércio atacadista de papel e papelão em bruto
G;4686-9/02;Comércio atacadista de embalagens
G;4687-7/01;Comércio atacadista de resíduos de papel e papelão
G;4687-7/02;Comércio atacadista de resíduos e sucatas não-metálicos, exceto de papel e papelão
G;4687-7/03;Comércio atacadista de resíduos e sucatas metálicos
G;4689-3/01;Comércio atacadista de produtos da extração mineral, exceto combustíveis
G;4689-3/02;Comércio atacadista de fios e fibras beneficiados
G;4689-3/99;Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente
G;4691-5/00;Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios
G;4692-3/00;Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários
G;4693-1/00;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários
G;4711-3/01;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados
G;4711-3/02;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados
G;4712-1/00;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns
G;4713-0/01;Lojas de departamentos ou magazines
G;4713-0/02;Lojas de variedades, exceto lojas de departamentos ou magazines
G;4713-0/03;Lojas duty free de aeroportos internacionais
G;4721-1/02;Padaria e confeitaria com predominância de revenda
G;4721-1/03;Comércio varejista de laticínios e frios
G;4721-1/04;Comércio varejista de doces, balas, bombons e semelhantes
G;4722-9/01;Comércio varejista de carnes - açougues
G;4722-9/02;Peixaria
G;4723-7/00;Comércio varejista de bebidas
G;4724-5/00;Comércio varejista de hortifrutigranjeiros
G;4729-6/01;Tabacaria
G;4729-6/02;Comércio varejista de mercadorias em lojas de conveniência
G;4729-6/99;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente
G;4731-8/00;Comércio varejista de combustíveis para veículos automotores
G;4732-6/00;Comércio varejista de lubrificantes
G;4741-5/00;Comércio varejista de tintas e materiais para pintura
G;4742-3/00;Comércio varejista de material elétrico
G;4743-1/00;Comércio varejista de vidros
G;4744-0/01;Comércio varejista de ferragens e ferramentas
G;4744-0/02;Comércio varejista de madeira e artefatos
G;4744-0/03;Comércio varejista de materiais hidráulicos
G;4744-0/04;Comércio varejista de cal, areia, pedra britada, tijolos e telhas
G;4744-0/05;Comércio varejista de materiais de construção não especificados anteriormente
G;4744-0/06;Comércio varejista de pedras para revestimento
G;4744-0/99;Comércio varejista de materiais de construção em geral
G;4751-2/01;Comércio varejista especializado de equipamentos e suprimentos de informática
G;4751-2/02;Recarga de cartuchos para equipamentos de informática
G;4752-1/00;Comércio varejista especializado de equipamentos de telefonia e comunicação
G;4753-9/00;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
G;4754-7/01;Comércio varejista de móveis
G;4754-7/02;Comércio varejista de artigos de colchoaria
G;4754-7/03;Comércio varejista de artigos de iluminação
G;4755-5/01;Comércio varejista de tecidos
G;4755-5/02;Comercio varejista de artigos de armarinho
G;4755-5/03;Comercio varejista de artigos de cama, mesa e banho
G;4756-3/00;Comércio varejista especializado de instrumentos musicais e acessórios
G;4757-1/00;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação
G;4759-8/01;Comércio varejista de artigos de tapeçaria, cortinas e persianas
G;4759-8/99;Comércio varejista de outros artigos de uso doméstico não especificados anteriormente
G;4761-0/01;Comércio varejista de livros
G;4761-0/02;Comércio varejista de jornais e revistas
G;4761-0/03;Comércio varejista de artigos de papelaria
G;4762-8/00;Comércio varejista de discos, CDs, DVDs e fitas
G;4763-6/01;Comércio varejista de brinquedos e artigos recreativos
G;4763-6/02;Comércio varejista de artigos esportivos
G;4763-6/03;"Comércio varejista de bicicletas e triciclos; peças e acessórios"
G;4763-6/04;Comércio varejista de artigos de caça, pesca e camping
G;4763-6/05;"Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios"
G;4771-7/01;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas
G;4771-7/02;Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas
G;4771-7/03;Comércio varejista de produtos farmacêuticos homeopáticos
G;4771-7/04;Comércio varejista de medicamentos veterinários
G;4772-5/00;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal
G;4773-3/00;Comércio varejista de artigos médicos e ortopédicos
G;4774-1/00;Comércio varejista de artigos de óptica
G;4781-4/00;Comércio varejista de artigos do vestuário e acessórios
G;4782-2/01;Comércio varejista de calçados
G;4782-2/02;Comércio varejista de artigos de viagem
G;4783-1/01;Comércio varejista de artigos de joalheria
G;4783-1/02;Comércio varejista de artigos de relojoaria
G;4784-9/00;Comércio varejista de gás liqüefeito de petróleo (GLP)
G;4785-7/01;Comércio varejista de antigüidades
G;4785-7/99;Comércio varejista de outros artigos usados
G;4789-0/01;Comércio varejista de suvenires, bijuterias e artesanatos
G;4789-0/02;Comércio varejista de plantas e flores naturais
G;4789-0/03;Comércio varejista de objetos de arte
G;4789-0/04;Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação
G;4789-0/05;Comércio varejista de produtos saneantes domissanitários
G;4789-0/06;Comércio varejista de fogos de artifício e artigos pirotécnicos
G;4789-0/07;Comércio varejista de equipamentos para escritório
G;4789-0/08;Comércio varejista de artigos fotográficos e para filmagem
G;4789-0/09;Comércio varejista de armas e munições
G;4789-0/99;Comércio varejista de outros produtos não especificados anteriormente
H;4911-6/00;Transporte ferroviário de carga
H;4912-4/01;Transporte ferroviário de passageiros intermunicipal e interestadual
H;4912-4/02;Transporte ferroviário de passageiros municipal e em região metropolitana
H;4912-4/03;Transporte metroviário
H;4921-3/01;Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal
H;4921-3/02;Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana
H;4922-1/01;Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana
H;4922-1/02;Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual
H;4922-1/03;Transporte rodoviário coletivo de passageiros, com itinerário fixo, internacional
